,calinski_harabasz_Nclusters,silhouette_Nclusters,davies_bouldin_Nclusters,calinski_harabasz_score,silhouette_score,davies_bouldin_score,calinski_harabasz_damping,silhouette_damping,davies_bouldin_damping,calinski_harabasz_preference,silhouette_preference,davies_bouldin_preference
2016-10-31,2,2,116,94.60098297805864,0.6037212653678354,0.807679797869877,0.6,0.99,0.5,-10.0,-0.8,-0.05
2016-11-30,2,2,13,178.39992861048708,0.570702186681418,0.7361093497733507,0.5,0.99,0.99,-9.0,-0.8,-0.19999999999999996
2016-12-31,2,3,118,112.87006728456585,0.3403463234860478,0.7956712787171769,0.6,0.99,0.9,-9.0,-0.8,-0.05
2017-01-31,2,4,4,82.58044500897915,0.6611874313569638,0.3581452470253563,0.5,0.99,0.99,-10.0,-0.4,-0.4
2017-02-28,2,3,5,106.39230772124958,0.47191989615586105,0.7751209267927676,0.5,0.99,0.99,-8.0,-0.8,-0.4
2017-03-31,2,2,121,88.82446863465026,0.2141210106243115,0.7946471340212197,0.5,0.5,0.9,-6.0,-7.0,-0.05
2017-04-30,2,2,124,114.24715441434726,0.2518123057442356,0.8347642256443146,0.5,0.7,0.7,-9.0,-10.0,-0.05
2017-05-31,2,3,123,116.15169541556085,0.2775307731905537,0.7844159944016007,0.6,0.99,0.5,-8.0,-0.8,-0.05
2017-06-30,2,2,17,104.12364072664394,0.23474579092234313,0.7537898918214617,0.5,0.5,0.99,-7.0,-8.0,-0.1
2017-07-31,2,4,14,121.86328104760284,0.26212538057782236,0.782967626654992,0.5,0.99,0.99,-8.0,-0.6000000000000001,-0.1
2017-08-31,2,4,16,131.55796005097136,0.4016129047657523,0.8088951618007789,0.5,0.99,0.99,-9.0,-0.6000000000000001,-0.1
2017-09-30,2,2,2,101.50166422269004,0.7861978351796024,0.1486796312972453,0.7,0.99,0.99,-8.0,-0.8,-0.8
2017-10-31,2,2,124,117.57842786687942,0.2885891761251859,0.7814760765537384,0.6,0.6,0.9,-10.0,-9.0,-0.05
2017-11-30,2,2,128,103.61489150834218,0.2789167676804058,0.764230849423828,0.7,0.5,0.5,-10.0,-8.0,-0.05
2017-12-31,2,2,48,111.20372656136504,0.40061537855290763,0.8029103735969597,0.5,0.99,0.99,-10.0,-0.8,-0.05
2018-01-31,2,2,121,145.04041824078118,0.5025537390311469,0.8133164364905652,0.8,0.99,0.7,-10.0,-0.8,-0.05
